,Population 2023,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
IND,1,,India," 1,438,070 ",
CHN,2,,China," 1,410,710 ",
USA,3,,United States," 334,915 ",
IDN,4,,Indonesia," 281,190 ",
PAK,5,,Pakistan," 247,504 ",
NGA,6,,Nigeria," 227,883 ",
BRA,7,,Brazil," 211,141 ",
BGD,8,,Bangladesh," 171,467 ",
RUS,9,,Russian Federation," 143,826 ",
MEX,10,,Mexico," 129,740 ",
ETH,11,,Ethiopia," 128,692 ",
JPN,12,,Japan," 124,517 ",
PHL,13,,Philippines," 114,891 ",
EGY,14,,"Egypt, Arab Rep."," 114,536 ",
COD,15,,"Congo, Dem. Rep."," 105,790 ",
VNM,16,,Viet Nam," 100,352 ",
IRN,17,,"Iran, Islamic Rep."," 90,609 ",
TUR,18,,Türkiye," 85,326 ",
DEU,19,,Germany," 83,280 ",
THA,20,,Thailand," 71,702 ",
GBR,21,,United Kingdom," 68,350 ",
FRA,22,,France," 68,287 ",
TZA,23,,Tanzania," 66,618 ",
ZAF,24,,South Africa," 63,212 ",
ITA,25,,Italy," 58,993 ",
KEN,26,,Kenya," 55,339 ",
MMR,27,,Myanmar," 54,134 ",
COL,28,,Colombia," 52,321 ",
KOR,29,,"Korea, Rep."," 51,713 ",
SDN,30,,Sudan," 50,043 ",
UGA,31,,Uganda," 48,657 ",
ESP,32,,Spain," 48,348 ",
DZA,33,,Algeria," 46,164 ",
ARG,34,,Argentina," 45,538 ",
IRQ,35,,Iraq," 45,074 ",
AFG,36,,Afghanistan," 41,455 ",
CAN,37,,Canada," 40,098 ",
YEM,38,,"Yemen, Rep."," 39,391 ",
UKR,39,,Ukraine," 37,733 ",
MAR,40,,Morocco," 37,713 ",
AGO,41,,Angola," 36,750 ",
POL,42,,Poland," 36,687 ",
UZB,43,,Uzbekistan," 35,652 ",
MYS,44,,Malaysia," 35,126 ",
PER,45,,Peru," 33,846 ",
GHA,46,,Ghana," 33,788 ",
MOZ,47,,Mozambique," 33,635 ",
SAU,48,,Saudi Arabia," 33,264 ",
MDG,49,,Madagascar," 31,196 ",
CIV,50,,Côte d'Ivoire," 31,166 ",
NPL,51,,Nepal," 29,695 ",
CMR,52,,Cameroon," 28,373 ",
VEN,53,,"Venezuela, RB"," 28,301 ",
AUS,54,,Australia," 26,659 ",
PRK,55,,"Korea, Dem. People's Rep."," 26,418 ",
NER,56,,Niger," 26,160 ",
MLI,57,,Mali," 23,769 ",
SYR,58,,Syrian Arab Republic," 23,595 ",
BFA,59,,Burkina Faso," 23,026 ",
LKA,60,,Sri Lanka," 22,037 ",
MWI,61,,Malawi," 21,104 ",
ZMB,62,,Zambia," 20,724 ",
KAZ,63,,Kazakhstan," 20,330 ",
CHL,64,,Chile," 19,659 ",
TCD,65,,Chad," 19,319 ",
ROU,66,,Romania," 19,059 ",
SOM,67,,Somalia," 18,359 ",
GTM,68,,Guatemala," 18,125 ",
SEN,69,,Senegal," 18,078 ",
ECU,70,,Ecuador," 17,980 ",
NLD,71,,Netherlands," 17,877 ",
KHM,72,,Cambodia," 17,424 ",
ZWE,73,,Zimbabwe," 16,341 ",
